City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Yate,GB,51.5407,-2.4184,56.59,88,88,3.76,overcast clouds
331,Iglesias,IT,39.3114,8.535,56.79,79,9,3.53,clear sky
332,Bagli,IN,22.65,76.35,82.99,18,0,11.5,clear sky
333,Russell,US,32.3502,-85.1999,73.0,81,20,5.75,few clouds
334,Raga,SS,8.4596,25.678,82.87,50,97,6.55,overcast clouds
335,Grimshaw,CA,56.1834,-117.6027,37.02,32,100,4.61,light rain
336,Luanda,AO,-8.8368,13.2343,76.98,89,100,9.86,moderate rain
337,Turukhansk,RU,65.8167,87.9833,37.11,100,100,20.31,light rain
338,Mayumba,GA,-3.432,10.6554,77.9,91,38,3.67,scattered clouds
339,Hami,CN,42.8,93.45,50.05,25,0,7.09,clear sky
340,Milford,US,41.2223,-73.0565,63.21,76,100,11.5,overcast clouds
341,Beloha,MG,-25.1667,45.05,72.37,94,11,4.54,few clouds
342,Jalu,LY,29.0331,21.5482,75.97,22,76,16.78,broken clouds
343,Zhuanghe,CN,39.7008,122.9911,49.17,38,0,6.49,clear sky
344,Salinas,US,36.6777,-121.6555,65.01,76,100,16.11,overcast clouds
345,Vao,NC,-22.6667,167.4833,76.6,70,0,8.03,clear sky
346,Alta Floresta,BR,-9.8756,-56.0861,74.46,96,80,1.05,moderate rain
347,Keti Bandar,PK,24.1447,67.4497,79.57,87,11,14.03,few clouds
