City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Labuhan,ID,78.26,overcast clouds,-6.8844,112.2051,DoubleFAG
411,Meulaboh,ID,77.61,scattered clouds,4.1363,96.1285,Kost Pria
412,Santa Ana,US,76.64,few clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
416,Axim,GH,74.35,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
420,Quang Ngai,VN,73.67,broken clouds,15.1167,108.8,Central Hotel
422,Celestun,MX,82.63,clear sky,20.8667,-90.4,Posada Lilia
423,San Juan,AR,72.55,clear sky,-31.5375,-68.5364,Hotel Provincial
428,Palu,ID,75.76,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
429,Wilmington,US,73.31,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
435,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
437,Sao Joao Da Barra,BR,73.26,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
442,Sorong,ID,81.21,broken clouds,-0.8833,131.25,Waigo Splash Hotel
443,Kloulklubed,PW,73.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
447,Bambanglipuro,ID,76.41,scattered clouds,-7.95,110.2833,Puri Brata
448,Machico,PT,72.23,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
449,Iracoubo,GF,78.33,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
450,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
451,Grand-Lahou,CI,77.31,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
452,Fare,PF,81.07,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
454,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
455,Nkan,GA,76.75,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
456,Solana Beach,US,74.19,clear sky,32.9912,-117.2711,Hilton San Diego/Del Mar
457,Takoradi,GH,75.25,light rain,4.8845,-1.7554,Raybow International Hotel
463,Paine,CL,72.84,clear sky,-33.8167,-70.75,Hotel El Almendro
464,Atar,MR,82.24,clear sky,20.5169,-13.0499,Oumou Elghoura
465,Morgan City,US,85.01,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
471,Rio Verde De Mato Grosso,BR,71.85,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
472,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
474,Kailua,US,82.38,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
479,Guane,CU,79.57,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
480,Dingle,PH,78.28,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
484,Ubon Ratchathani,TH,84.97,overcast clouds,15.1667,105.1667,บ้านอินทร์โชติ
486,Camopi,GF,73.15,broken clouds,3.1655,-52.3158,La pousada
487,Sweetwater,US,83.01,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
493,Netarhat,IN,71.08,broken clouds,23.4833,84.2667,HOTEL PRAKASH
498,Kutum,SD,74.23,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
499,Sena Madureira,BR,76.78,broken clouds,-9.0656,-68.6569,Hotel Central
502,Sola,VU,81.95,broken clouds,-13.8833,167.55,Leumerus Bungalows
503,Beyla,GN,70.81,moderate rain,8.6833,-8.6333,DIAN SINKO
504,Dangriga,BZ,81.32,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
512,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
514,Tabuk,PH,74.3,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
