City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Fort-Shevchenko,KZ,2022-04-12 11:36:30,44.5086,50.263,68.54,42,9,25.01
114,Arcos De La Frontera,ES,2022-04-12 11:36:30,36.7508,-5.8106,65.03,76,32,11.99
115,Requena,ES,2022-04-12 11:36:31,39.4883,-1.1004,50.52,77,100,2.95
116,Mahibadhoo,MV,2022-04-12 11:36:31,3.7833,72.9667,84.02,74,77,14.16
117,Truro,GB,2022-04-12 11:34:06,50.2653,-5.0544,58.39,82,40,11.5
118,Aswan,EG,2022-04-12 11:36:32,24.0934,32.907,96.51,11,36,17.16
119,Folldal,NO,2022-04-12 11:36:32,62.1325,9.9968,31.59,72,100,4.25
120,Ust-Nera,RU,2022-04-12 11:36:33,64.5667,143.2,-2.11,100,70,2.44
121,Torbay,CA,2022-04-12 11:35:36,47.6666,-52.7314,35.58,84,100,27.63
122,Itarema,BR,2022-04-12 11:36:34,-2.9248,-39.9167,79.7,82,100,4.45
123,Guerrero Negro,MX,2022-04-12 11:36:34,27.9769,-114.0611,59.88,74,36,18.37
124,Casper,US,2022-04-12 11:36:35,42.8666,-106.3131,30.72,92,100,19.57
125,Kysyl-Syr,RU,2022-04-12 11:36:35,63.8986,122.7617,10.58,97,77,3.83
126,Nalut,LY,2022-04-12 11:36:35,30.3333,10.85,82.53,16,99,26.71
127,Krasnoselkup,RU,2022-04-12 11:36:36,65.7,82.4667,34.63,100,100,12.84
128,Gagnoa,CI,2022-04-12 11:36:36,6.1293,-5.9437,91.0,53,96,3.49
129,Sar-E Pul,AF,2022-04-12 11:36:36,35.8333,66.1667,65.62,46,32,9.64
130,Georgetown,MY,2022-04-12 11:36:11,5.4112,100.3354,87.73,78,20,8.05
131,East London,ZA,2022-04-12 11:36:37,-33.0153,27.9116,70.74,83,40,6.91
132,Barrow,US,2022-04-12 11:36:37,71.2906,-156.7887,8.62,72,100,11.5
133,Alaca,TR,2022-04-12 11:36:38,40.1683,34.8425,38.25,82,100,11.52
134,Lavrentiya,RU,2022-04-12 11:36:38,65.5833,-171.0,15.76,88,100,10.11
135,Wufeng,CN,2022-04-12 11:37:39,27.45,104.8333,52.61,84,100,2.91
136,Abalak,RU,2022-04-12 11:37:39,58.1286,68.5944,43.95,87,36,7.05
137,New Norfolk,AU,2022-04-12 11:37:39,-42.7826,147.0587,57.65,55,99,1.01
138,Dingle,PH,2022-04-12 11:37:40,10.9995,122.6711,72.63,93,100,5.48
139,Atambua,ID,2022-04-12 11:37:40,-9.1061,124.8925,74.23,84,94,2.95
140,Varzea Da Palma,BR,2022-04-12 11:37:40,-17.5981,-44.7308,81.36,63,54,0.96
141,Kahului,US,2022-04-12 11:37:41,20.8947,-156.47,74.84,84,0,12.66
142,Leningradskiy,RU,2022-04-12 11:37:41,69.3833,178.4167,-17.41,97,66,4.25
143,Kinsale,IE,2022-04-12 11:37:42,51.7075,-8.5306,52.23,93,75,10.36
144,Garden City,US,2022-04-12 11:37:42,42.3256,-83.331,42.21,83,20,3.44
145,Muros,ES,2022-04-12 11:37:43,42.7762,-9.0603,57.83,81,65,14.0
146,Cabo San Lucas,MX,2022-04-12 11:35:19,22.8909,-109.9124,63.52,79,5,5.99
147,Soubre,CI,2022-04-12 11:37:43,5.7856,-6.6083,90.59,55,100,3.71
148,Te Anau,NZ,2022-04-12 11:37:44,-45.4167,167.7167,47.84,77,64,1.28
149,Alugan,PH,2022-04-12 11:37:44,12.2188,125.4808,78.8,88,98,12.84
